title,image_url,description
Veranda Post (Òpó Ògògá),"https://www.artic.edu/iiif/2/4dd78841-4237-9e49-76ec-136fbfa0b0a7/full/843,/0/default.jpg","One of four posts sculpted for the palace of the king ( ) of Ikere, this evocative image of the Yoruba concept of a divine ruler is a masterwork of Olowe of Ise. The renowned artist’s dynamic style can be distinguished by the interrelationships between figures, their exaggerated proportions, and the use of open space. The sculptor’s diminutive portrayal of the king suggests his dependence on others, and his crown has been emphasized to evoke the spiritual power residing within it.  The towering image of the king’s senior wife standing behind him underscores her superior status as a guardian of her husband’s interests, endowed with keen political understanding and supernatural knowledge. She would have placed the crown on the king’s head during his enthronement ceremony. The smaller figures at the king’s feet represent one of his junior wives and the flute-playing trickster god Eshu."
Blue and Green Music,"https://www.artic.edu/iiif/2/3ee54063-9d78-ee86-0103-b477d988a93f/full/843,/0/default.jpg","Around 1920 Georgia O’Keeffe painted a number of oils exploring, as she later recalled, “the idea that music could be translated into something for the eye.” In , O’Keeffe’s colors and forms simultaneously suggest the natural world and evoke the experience of sound. She was drawn to the theories of the Russian Expressionist painter Vasily Kandinsky, who, in his 1912 text , argued that visual artists should emulate music in order to achieve pure expression free of literary references."
Bathers by a River,"https://www.artic.edu/iiif/2/419ddce3-c90b-3d0c-43b3-73683a87bf98/full/843,/0/default.jpg","Henri Matisse considered to be one of the five most “pivotal” works of his career, and with good reason: it facilitated the evolution of the artist’s style over the course of nearly a decade. Originally, the work was related to a 1909 commission by the Russian collector Sergei Shchukin, who wanted two large canvases to decorate the staircase of his Moscow home. Matisse proposed three pastoral images, though Shchukin decided to purchase only two works, and (both State Hermitage Museum, Saint Petersburg). Four years later, Matisse returned to this canvas, the rejected third image, altering the idyllic scene and changing the pastel palette to reflect his new interest in Cubism. He reordered the composition, making the figures more columnar, with faceless, ovoid heads. Over the next years, Matisse transformed the background into four vertical bands and turned the formerly blue river into a thick black vertical band. With its restricted palette and severely abstracted forms, is far removed from and , which convey a graceful lyricism. The sobriety and hint of danger in may in part reflect the artist’s concerns during the terrible, war-torn period during which he completed it."
The Old Guitarist,"https://www.artic.edu/iiif/2/ddacae05-9279-51b5-e9ab-00024ae01e27/full/843,/0/default.jpg","Pablo Picasso made while working in Barcelona. In the paintings of his Blue Period (1901-04), the artist restricted himself to a cold, monochromatic blue palette, flattened forms, and emotional, psychological themes of human misery and alienation related to the work of such artists as Edvard Munch and Paul Gauguin. The elongated, angular figure of the blind musician also relates to Picasso’s interest in Spanish art and, in particular, the great 16th-century artist El Greco. The image reﬂects the twenty-two-year-old Picasso’s personal struggle and sympathy for the plight of the downtrodden; he knew what it was like to be poor, having been nearly penniless during all of 1902."
"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series ""Thirty-Six Views of Mount Fuji (Fugaku sanjūrokkei)""","https://www.artic.edu/iiif/2/b3974542-b9b4-7568-fc4b-966738f61d78/full/843,/0/default.jpg","Katsushika Hokusai’s much celebrated series, Thirty-Six Views of Mount Fuji (Fugaku sanjûrokkei), was begun in 1830, when the artist was 70 years old. This tour-de-force series established the popularity of landscape prints, which continues to this day. Perhaps most striking about the series is Hokusai’s copious use of the newly affordable Berlin blue pigment, featured in many of the compositions in the color for the sky and water. Mount Fuji is the protagonist in each scene, viewed from afar or up close, during various weather conditions and seasons, and from all directions. The most famous image from the set is the “Great Wave” (Kanagawa oki nami ura), in which a diminutive Mount Fuji can be seen in the distance under the crest of a giant wave. The three impressions of Hokusai’s Great Wave in the Art Institute are all later impressions than the first state of the design."
The Assumption of the Virgin,"https://www.artic.edu/iiif/2/47fd1564-93f5-f30b-7786-013421133b4a/full/843,/0/default.jpg","This painting was the central element of the altarpiece that was El Greco’s ﬁrst major Spanish commission and ﬁrst large public work. After living in Venice and Rome, where he absorbed the late Mannerist style, the Greek-born artist settled in the Spanish city of Toledo in 1577 to work on the high altar of the convent church of Santo Domingo el Antiguo. The church of this ancient Cistercian convent was being rebuilt as the funerary chapel of a pious widow, Doña Maria de Silva. In El Greco’s grand design, the Assumption was surmounted by a representation of the Trinity and was ﬂanked by two side altars decorated with paintings of the Adoration of the Shepherds and the Resurrection. The visionary imagery of the Assumption and the Trinity aptly expressed the patron’s hope of salvation. Here the Virgin ﬂoats upward, supported on the crescent moon that is symbolic of her purity, while the boldly modeled heads of the crowd of apostles gathered around her empty tomb express amazement and concern. The vigor of El Greco’s broad brushstrokes proclaims the conﬁdent achievement of this early work, as does this artist’s large signature in Greek, painted as though affixed to the surface of the picture at the lower right."
Stacks of Wheat (End of Summer),"https://www.artic.edu/iiif/2/a38e2828-ec6f-ece1-a30f-70243449197b/full/843,/0/default.jpg","The monumental stacks that Claude Monet depicted in his series rose fifteen to twenty feet and stood just outside the artist’s farmhouse at Giverny. Through 1890 and 1891, he worked on this series both in the field, painting simultaneously at several easels, and in the studio, refining pictorial harmonies. In May 1891, Monet hung fifteen of these canvases next to each other in one small room in the Galerie Durand-Ruel in Paris. An unprecedented critical and financial success, the exhibition marked a breakthrough in Monet’s career, as well as in the history of French art. In this view, and in nearly all of the autumn views in the series, the conical tops of the stacks break the horizon and push into the sky. But in most of the winter views, which constitute the core of the series, the stacks seem wrapped by bands of hill and field, as if bedded down for the season. For Monet, the stack was a resonant symbol of sustenance and survival. He followed this group with further series depicting poplars, the facade of Rouen Cathedral, and, later, his own garden at Giverny. The Art Institute has the largest group of Monet’s in the world."
American Gothic,"https://www.artic.edu/iiif/2/b272df73-a965-ac37-4172-be4e99483637/full/843,/0/default.jpg","In , Grant Wood directly evoked images of an earlier generation by featuring a farmer and his daughter posed stiffly and dressed as if they were, as the artist put it, “tintypes from my old family album.” They stand outside of their home, built in an 1880s style known as Carpenter Gothic. Wood had seen a similar farmhouse during a visit to Eldon, Iowa. When it was exhibited at the Art Institute in 1930, the painting became an instant sensation, its ambiguity prompting viewers to speculate about the figures and their story. Many understood the work to be a satirical comment on midwesterners out of step with a modernizing world. Yet Wood intended it to convey a positive image of rural American values, offering a vision of reassurance at the beginning of the Great Depression."
Water Lilies,"https://www.artic.edu/iiif/2/3c27b499-af56-f0d5-93b5-a7f2f1ad5813/full/843,/0/default.jpg","“One instant, one aspect of nature contains it all,” said Claude Monet, referring to his late masterpieces, the water landscapes that he produced at his home in Giverny between 1897 and his death in 1926. These works replaced the varied contemporary subjects he had painted from the 1870s through the 1890s with a single, timeless motif—water lilies. The focal point of these paintings was the artist’s beloved ﬂower garden, which featured a water garden and a smaller pond spanned by a Japanese footbridge. In his first (1897–99), Monet painted the pond environment, with its plants, bridge, and trees neatly divided by a fixed horizon. Over time, the artist became less and less concerned with conventional pictorial space. By the time he painted , which comes from his third group of these works, he had dispensed with the horizon line altogether. In this spatially ambiguous canvas, the artist looked down, focusing solely on the surface of the pond, with its cluster of vegetation ﬂoating amid the reﬂection of sky and trees. Monet thus created the image of a horizontal surface on a vertical one."
Two Sisters (On the Terrace),"https://www.artic.edu/iiif/2/3a608f55-d76e-fa96-d0b1-0789fbc48f1e/full/843,/0/default.jpg","“He loves everything that is joyous, brilliant, and consoling in life,” an anonymous interviewer once wrote about Pierre-Auguste Renoir. This may explain why is one of the most popular paintings in the Art Institute. Here Renoir depicted the radiance of lovely young women on a warm and beautiful day. The older girl, wearing the female boater’s blue ﬂannel, is posed in the center of the evocative landscape backdrop of Chatou, a suburban town where the artist spent much of the spring of 1881. She gazes absently beyond her younger companion, who seems, in a charming visual conceit, to have just dashed into the picture. Technically, the painting is a tour de force: Renoir juxtaposed solid, almost life-size figures against a landscape that—like a stage set—seems a realm of pure vision and fantasy. The sewing basket in the left foreground evokes a palette, holding the bright, pure pigments that the artist mixed, diluted, and altered to create the rest of the painting. Although the girls were not actually sisters, Renoir’s dealer showed the work with this title, along with and others, at the seventh Impressionist exhibition, in 1882."
The Child's Bath,"https://www.artic.edu/iiif/2/5de963b1-55e2-b349-6cd5-85f9bd2687ec/full/843,/0/default.jpg","In this work, Mary Cassatt addressed the theme for which she is best known—women and children—while also experimenting with compositional elements of Japanese art. Cassatt saw a large exhibition of Japanese prints at the École des Beaux-Arts in Paris in 1890, and produced a series of prints influenced by their aesthetics. is the culmination of her investigation of a flattened picture plane and decorative patterning. The intimate scene of everyday life also echoes the subject of many Japanese prints. In Cassatt’s painting, the encircling arms and gentle touch of the mother or nurse convey an overall feeling of protection and tenderness."
White Crucifixion,"https://www.artic.edu/iiif/2/cefba431-1241-6240-3a92-ffa787e5fa49/full/843,/0/default.jpg","is the first in Marc Chagall’s series of compositions that feature Jesus as a Jewish martyr and dramatically call attention to the persecution and suffering of Jews in 1930s Germany at the hands of the National Socialist Party. Chagall stressed Jesus’s religious identity by depicting him and the biblical figures above him in traditional Jewish garments. The surrounding images show the devastation of pogroms, violent attacks against Jewish communities often organized or sanctioned by local governments. Combining the Crucifixion with contemporary events, Chagall’s painting links the martyred Jesus with the Jewish people being persecuted across Europe and implicitly compares the Nazis with Jesus’s tormentors."
La durée poignardée (Time Transfixed),"https://www.artic.edu/iiif/2/6a7160ea-df65-9083-c16c-33b30662208d/full/843,/0/default.jpg","René Magritte painted at a moment when he was attempting to elicit “poetic secrets” through his works. With both philosophy and psychology in mind, the artist challenged himself to juxtapose two images in such a way that they would suggest in the viewer’s mind a third un-pictured thing. Here he connected two highly disparate objects—a train and a fireplace—in a composition that became one of his most iconic works. Although the fireplace is domestic and the train is industrial, they are linked by the smoke. Magritte understood that viewers would connect the locomotive’s billowing exhaust with the plumes of smoke that travel up chimneys, uncovering the painting’s poetic secret."
Cow's Skull with Calico Roses,"https://www.artic.edu/iiif/2/9ae64560-a416-ec19-851a-c76c5ca3c64f/full/843,/0/default.jpg","Georgia O’Keeffe collected this cow’s skull in New Mexico during the summer of 1930, when a drought had devastated the Southwest, and many animal skeletons could be found in the desert. She was captivated by the stark elegance of the bones and shipped some back to New York so she could paint them the following year. She noted, “To me they are as beautiful as anything I know… . The bones seem to cut sharply to the center of something that is keenly alive on the desert.” O’Keeffe’s inclusion of the calico fabric roses—which were used to decorate graves in New Mexico—further evokes questions of life, death, and mortality."
At the Moulin Rouge,"https://www.artic.edu/iiif/2/defb4004-b500-218d-3d9b-9a02423f097d/full/843,/0/default.jpg","Henri de Toulouse-Lautrec has been associated with the Moulin Rouge since its opening in 1889: the owner of the legendary nightclub bought the artist’s as a decoration for the foyer. Toulouse-Lautrec populated with portraits of the legendary nightclub’s regulars, including himself—the diminutive figure in the center background—accompanied by his cousin, physician Gabriel Tapié de Céleyran. Dancer La Goulue arranges her hair behind the table where , another famous performer, socializes. Singer May Milton peers out from the right edge of the painting, her face harshly lit and acid green. At some point, the artist or his dealer cut down the canvas to remove Milton, perhaps because her strange appearance made the work hard to sell. Whatever the reason, by 1914 the cut section had been reattached to the painting."
Sky above Clouds IV,"https://www.artic.edu/iiif/2/8fa4d1dd-b05f-eb8d-b83f-7b5dd65642db/full/843,/0/default.jpg","Painted in the summer of 1965, when Georgia O’Keeffe was 77 years old, this monumental work culminates a series inspired by the artist’s experiences as an airplane passenger during the 1950s. Working in Abiquiu, New Mexico, O’Keeffe began around 1963 to capture the endless expanses of clouds she had observed from airplane windows during trips all over the world. Beginning with a relatively realistic depiction of small white clouds on a three-by-four-foot canvas, she progressed to more stylized images of the motif on larger surfaces. O’Keeffe wrote: “I painted a painting eight feet high and twenty-four feet wide—it kept me working every minute from six a.m. till eight or nine at night as I had to be finished before it was cold—I worked in the garage and it had no heat—Such a size is of course ridiculous but I had it in my head as something I wanted to do for a couple of years.” In 1970 was scheduled to be included in a retrospective of O’Keeffe’s work at the Whitney Museum of American Art, New York, the Art Institute of Chicago, and the San Francisco Museum of Art. After being shown in New York and Chicago, the painting was determined to be too large to enter the doors of the museum in San Francisco. It thus remained on loan to the Art Institute for more than a decade, while the artist and public-minded collectors of her art arranged for it to join the museum’s permanent collection. The special relationship between O’Keeffe and the Art Institute began in 1905, when she enrolled as a student at the School of the Art Institute. Her first museum retrospective was organized here in 1943. Later, as the executor for the estate of her husband, the pioneering American photographer and art dealer Alfred Stieglitz, O’Keeffe presented the Art Institute with an important group of modernist works, including a number of her own, many of which are on view in the galleries of American art. She continued to make significant additions to this bequest until her death, at age 98, in 1986."
"Arrival of the Normandy Train, Gare Saint-Lazare","https://www.artic.edu/iiif/2/0f1cc0e0-e42e-be16-3f71-2022da38cb93/full/843,/0/default.jpg","The Impressionists frequently paid tribute to the modern aspects of Paris. Their paintings abound with scenes of grand boulevards and elegant, new blocks of buildings, as well as achievements of modern construction such as iron bridges, exhibition halls, and train sheds. was an especially appropriate choice of subject for Claude Monet in the 1870s. The terminal, linking Paris and Normandy, where Monet’s technique of painting outdoors had been nurtured in the 1860s, was also the point of departure for towns and villages to the west and north of Paris frequented by the Impressionists. Monet completed eight of his twelve known paintings of the Gare Saint-Lazare in time for the third Impressionist exhibition, in 1877, probably placing them in the same gallery. Monet chose to focus his attention here on the glass-and-iron train shed, where he found an appealing combination of artificial and natural effects: the rising steam of locomotives trapped within the structure, and daylight penetrating the large, glazed sections of the roof. Monet’s depictions of the station inaugurated what was to become for him an established pattern of painting a specific motif repeatedly in order to capture subtle and temporal atmospheric changes. But the series also represented his last attempt to deal with urban realities: from this point on in his career, Monet would be largely a painter of landscapes."
Mao,"https://www.artic.edu/iiif/2/97cb5c4b-cce5-c4d8-f303-613ce92832c7/full/843,/0/default.jpg","The most influential of Pop artists, Andy Warhol cast a cool, ironic light on the pervasiveness of commercial culture and contemporary celebrity worship. Early in his career, he began to utilize the silk-screen process to transfer photographed images to canvas, creating multiple portraits of celebrities including Marilyn Monroe, Elvis Presley, and Jacqueline Kennedy, as well as duplicated images of mass-produced products such as Campbell’s soup cans and Coca-Cola bottles. In this example from his series, Warhol melded his signature style with the scale of totalitarian propaganda to address the cult of personality surrounding the Chinese ruler Mao Zedong (1893–1976). Nearly fifteen feet tall, this towering work mimics the representations of the political figure that were ubiquitously displayed throughout China. Warhol’s looming portrait impresses us with the duality of its realistic qualities and its plastic artificiality. In contrast to the photographic nature of the image, garish colors are applied to Mao’s face like makeup. The gestural handling of color in the portrait shows Warhol at his most painterly."
America Windows,"https://www.artic.edu/iiif/2/e5d11520-96cd-8b62-06a9-6d16ddf8affd/full/843,/0/default.jpg","Marc Chagall made to celebrate the US Bicentennial and presented them as a gift to the Art Institute of Chicago in 1977. The windows merge symbols of US history, the Chicago skyline, and the arts; read from left to right, the panels represent music, painting, literature, architecture, theater, and dance. Best known as a painter, Chagall had been working in stained glass for several decades by the 1970s. He was drawn to the medium as a way to explore intense color on a monumental scale. Working with stained-glass maker Charles Marq, Chagall executed 86 windows across Europe, Israel, and the United States."
Inventions of the Monsters,"https://www.artic.edu/iiif/2/be9551d4-860f-37a0-1408-086617f1824e/full/843,/0/default.jpg","Salvador Dalí, Surrealism’s most publicized practitioner, created monstrous visions of a world turned inside out, which he made even more compelling through his extraordinary technical skills. When the Art Institute acquired in 1943, the artist wrote his congratulations and explained: “According to Nostradamus the apparition of monsters presages the outbreak of war. The canvas was painted in the Semmering mountains near Vienna a few months before the Anschluss [the 1938 political union of Austria and Germany] and has a prophetic character. Horse women equal maternal river monsters.  Flaming giraffe equals masculine apocalyptic monster. Cat angel equals divine heterosexual monster. Hourglass equals metaphysical monster. Gala and Dalí equal sentimental monster. The little blue dog is not a true monster.” has an ominous mood. It is rife with threats of danger, from the menacing fire in the distance to the sibylline figure in the foreground with an hourglass and a butterfly, both symbols of the inevitability of death. Next to this figure sit Dalí and his wife and muse, Gala. With his native Catalonia embroiled in the Spanish Civil War, the artist surely felt great anxiety over a world without a safe haven, a world that indeed had allowed for the invention of monsters."
The Rock,"https://www.artic.edu/iiif/2/2843f22e-8ef1-2cd5-b53e-6712cd664e9a/full/843,/0/default.jpg","A startling juxtaposition of images, depicts a shattered red rock resting on top of a base that is being demolished by workers below. Peter Blume labored for years to complete this painting, which was commissioned in 1939 by the Edgar Kaufmann family for Fallingwater, their Frank Lloyd Wright–designed home in Pennsylvania. Although the complex imagery resists easy interpretation, it may point to devastation and reconstruction, reflecting the turbulence of World War II and its aftermath. In the end, proved too large for Fallingwater and it was never displayed there."
Daniel-Henry Kahnweiler,"https://www.artic.edu/iiif/2/aebda29e-16b8-4393-6edc-805cdb6ba459/full/843,/0/default.jpg","The subject of this portrait is Daniel-Henry Kahnweiler (1884–1979), a German-born art dealer, writer, and publisher. Kahnweiler opened an art gallery in Paris in 1907 and in 1908 began representing Pablo Picasso, whom he introduced to Georges Braque. Kahnweiler was a great champion of the artists’ revolutionary experiment with Cubism and purchased the majority of their paintings between 1908 and 1915. He also wrote an important book, , in 1920, which offered a theoretical framework for the movement. Kahnweiler sat as many as thirty times for this portrait. No longer seeking to create the illusion of true appearances, Picasso broke down and recombined the forms he saw. He described Kahnweiler with a network of shimmering, semitransparent surfaces that merge with the atmosphere around him. Forms are fractured into various planes and faceted shapes and presented from several points of view. Despite the portrait’s highly abstract character, however, Picasso added attributes to direct the eye and focus the mind: a wave of hair, the knot of a tie, a watch chain. Out of the ﬂickering passages of brown, gray, black, and white emerges a rather traditional portrait pose of a seated man, his hands clasped in his lap."
Woman at Her Toilette,"https://www.artic.edu/iiif/2/78c80988-6524-cec7-c661-a4c0a706d06f/full/843,/0/default.jpg","Consistent with the Impressionist aesthetic that Berthe Morisot fervently espoused, attempts to capture the essence of modern life in summary, understated terms. The painting also moves discreetly into the realm of female eroticism explored by Edgar Degas, Édouard Manet, and Pierre-Auguste Renoir but seldom broached at this time by women artists. Rendered with soft, feathery brushstrokes in nuanced shades of lavender, pink, blue, white, and gray, the composition resembles a visual tone poem, orchestrated with such perfumed and rarified motifs as brushed blonde hair, satins, powder puffs, and ﬂower petals. The artist even signed her name along the bottom of the mirror, as if to suggest that the image in her painting is as ephemeral as a silvery reﬂection. Morisot exhibited in seven of the eight Impressionist group shows; this painting was included in the fifth exhibition, in 1880, where her work received great acclaim. She was a particularly close friend of and frequent model for Manet, and she married his younger brother Eugène the year before she completed this painting. In addition to domestic interiors such as this one, Morisot’s pictorial realm included studies of women and children, gardens, fields, and seaside vacation homes."
Saint George and the Dragon,"https://www.artic.edu/iiif/2/8a0e4ac9-43ea-bc3e-884b-ee27f8a10501/full/843,/0/default.jpg","Bernat Martorell was the greatest painter of the first half of the fifteenth century in Catalonia in northeastern Spain. Depicted here is the most frequently represented episode from the popular legend of Saint George, in which the model Christian knight saves a town and rescues a beautiful princess. Conceived in the elegant, decorative International Gothic style, the painting was originally the center of an altarpiece dedicated to Saint George that was apparently made for the chapel of the palace of the Catalan government in Barcelona. This central scene was surrounded by four smaller narrative panels, now in the Musée du Louvre, Paris, and was probably surmounted by a lost image of Christ on the Cross. Here Saint George, on his white steed, triumphs over the evil dragon. A wealth of precisely observed details intensifies the drama. Dressed in an ermine-lined robe, the princess wears a sumptuous gilt crown atop her wavy red-gold hair. Her parents and their subjects watch the spectacle from the distant town walls. George’s halo and armor and the scaly body of the dragon are richly modeled with raised stucco decoration. Martorell also treated the ground, littered with bones and crawling with lizards, in a lively manner, giving it a gritty texture."
Distant View of Niagara Falls,"https://www.artic.edu/iiif/2/18092196-50ae-3ff1-9205-1b3110e966c3/full/843,/0/default.jpg","Thomas Cole visited Niagara Falls in May 1829, composing this romanticized, autumnal scene the following year. Portraying the grandeur of the American landscape, the artist omitted the factories, scenic overlooks, and hotels that populated the area in the early 19th century. Cole expressed concern about the environmental impact of voracious industrialism, but at the same time his painting erased the human devastation wrought by colonialism and conquest in the region, which encompassed Attiwonderonk, Haudenosaunee, and Wenrohronon lands. The two Native American figures at center, combined with the falls, identify the setting as North America, but their diminished presence in scale and number reinforces the false idea of the “vanishing Indian” and is meant to signal impending transformation rather than acknowledge their stolen sovereignty."
